,SOURCE_ID,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
474,779065251693229056,167.42608992991413,44.26267578555475,-6.280823732011472,-12.03183378335963,1,0,17.5552005767822,16.6280994415283,-24.42721051289749,-4.392161797711758,-6.804466929700659,-2.2578892276244225
475,778804598717997696,167.57086876916472,43.69933442912599,-4.325370445179325,-12.303598882650853,1,0,19.4668006896973,18.0186996459961,-24.70744986419271,-4.892348910933157,-5.4597388641767095,-3.727338793574142
476,778938842215836032,165.91749907673042,43.493600219849135,-3.2060366360969947,-13.59288830147215,1,0,19.5725994110107,19.0578994750977,-25.757803635682137,-4.276036144948667,-5.581128470297302,-5.209637809657794
477,779040375242629760,167.5032796383746,44.194756391351504,-5.438277433449096,-11.98455644107474,1,0,19.0153999328613,18.4472999572754,-24.42799516200631,-4.479750341669541,-6.120571177784226,-2.76967619933844
478,778942621787064448,165.8580658122049,43.561322557180866,-4.2542333536318875,-12.770575760635356,1,0,18.7975997924805,18.2759990692139,-25.746053205173666,-4.19662648455647,-5.841285847925821,-3.8947027049539553
479,779036630031135488,167.619621112806,44.15259936065182,-5.949750933560232,-11.713853097278312,1,0,18.544900894165,17.8346004486084,-24.390457165359862,-4.565422523454266,-6.3346654590981935,-2.2512040994605145
480,779105972277832320,167.48547055132647,44.478269089322545,-4.663428241043073,-12.100022808597933,1,0,18.4162998199463,17.9472999572754,-24.256425490921742,-4.25330780047387,-5.600390544611125,-3.3546752567521443
481,779370434889424512,160.95872044442626,40.333751659500074,-3.0884177151516257,-12.334121293916134,1,0,21.4678001403809,19.4283008575439,-30.6239677020248,-4.0957846836538385,-5.0666682759415,-3.6902168675526403
482,779262240368124288,160.35979671255294,40.15063547334876,-3.8157713067060097,-12.551016333846608,1,0,15.4801998138428,14.9050998687744,-31.078757326196694,-3.904190520135128,-5.780487789605432,-3.2541596604780123
483,779170804809706880,160.94166657072216,39.50923442358076,-3.5123540882228017,-11.249632812383888,1,0,19.1896991729736,18.6446990966797,-31.21334872088505,-4.674285711257969,-4.610991727467515,-2.613281301137159
484,779454105147361024,160.00640502067014,40.23775698376395,-5.039132869025082,-11.646043636289708,1,0,21.1756000518799,19.3218002319336,-31.208090501679067,-3.651595144046524,-6.026027956948616,-1.7019702730846324
485,779327485216104064,161.4749356678263,40.387816848858314,-3.2297871983733,-12.51306706962665,1,0,20.1993999481201,18.3299007415771,-30.303970305375117,-4.332002354645291,-5.253072839089357,-3.7848328331640477
486,779483684586756608,159.42856948937344,40.08093391303164,-6.308558950265745,-11.301040044790806,1,0,19.0137004852295,17.7756004333496,-31.63075557766939,-3.447502891488472,-6.698496225368233,-0.47453687229587466
487,779431427720112640,159.63137430564882,39.9317156836025,-5.812777958659977,-13.229657784088596,1,0,14.5275001525879,14.2178001403809,-31.62830737424605,-3.6628898425505008,-7.716923459142005,-2.209311484181266
488,779390986307517952,160.92741762538492,40.701233551859545,-5.423095761195609,-12.10998012287925,1,0,18.6455993652344,17.0956993103027,-30.382720576867655,-3.817062188979206,-6.576114389079416,-1.8918084470652323
489,779229873494611584,160.25072407671885,39.574249177423006,-4.4461879594781175,-11.328383841058741,1,0,17.8966007232666,17.3959007263184,-31.546609177126186,-4.2526915684971165,-5.369916149932301,-1.926311746645854
490,779501998327352064,159.28549557974233,40.353522688427034,-5.695323341543698,-12.550322336259633,1,0,21.2311000823975,19.1651000976563,-31.512191971702123,-3.178746294503677,-7.168787327202466,-1.7673007410468933
491,779369923788292096,161.02464369306546,40.323590153190786,-4.730286033428822,-11.411813975424678,1,0,19.9969005584717,18.6797008514404,-30.595163710705037,-4.138252923250302,-5.587255903271149,-1.8900367849126634
492,779255467204733440,160.37897259385656,39.940608685674675,-4.997971258586137,-11.681788789564159,1,0,17.0006999969482,16.3439998626709,-31.217030112789303,-4.063249234528982,-6.002616341094197,-1.8051700461115463
493,779443969024598144,159.9139311237783,39.98665996931577,-4.765352845755633,-13.08504944364002,1,0,19.4631996154785,17.6590003967285,-31.436588017823397,-3.7783210761696164,-6.860066031589892,-2.8955875541288614
494,779392528200789888,160.7153872147789,40.629676801833305,-6.664069084257989,-12.382001631330859,1,0,18.9115009307861,18.4008007049561,-30.54784952661555,-3.755108680723754,-7.661468633514178,-1.1820003790218865
495,779518009965767680,159.61108242429177,40.539851145386855,-3.478814582367574,-11.711194631603963,1,0,17.7383003234863,17.0331993103027,-31.205177905951416,-3.2250803764648937,-4.997944434113601,-2.8070359184485287
496,779256841594290432,160.3125418345677,40.030686259777816,-3.2030122772653726,-12.029353940225985,1,0,20.1317005157471,19.0013008117676,-31.189346856436032,-3.9635390076453767,-4.981862346376679,-3.311163853254637
497,779136135833607168,160.40502522107363,39.01719072209456,-3.473703678650157,-11.675178455873125,1,0,18.736499786377,17.2236995697021,-31.857011361571438,-4.731037643293863,-4.919423739062369,-2.8756956011907167
498,779328619087479808,161.3883129936524,40.40926905847871,-4.184366643165346,-12.583369126887657,1,0,17.7033996582031,16.9934005737305,-30.33641530292448,-4.270641079633882,-5.992948508555153,-3.158666637837904
499,779130088519648640,160.36761194437221,38.97706162557233,-3.590386254361076,-11.62924690737194,1,0,19.4622993469238,18.4913997650146,-31.90611152147835,-4.7388736893737065,-4.972094010301043,-2.7559758001208974
500,779389268320993920,160.94546278279483,40.6002434156032,-4.293437368851449,-13.53941316614479,1,0,19.9559001922607,19.4843006134033,-30.44389801910478,-3.8986753506691105,-6.77156450907586,-3.7049501564768423
501,779513203897370496,159.6760161833646,40.40271799045489,-6.2249919253645825,-12.72366071991774,1,0,15.4546003341675,14.9987001419067,-31.268252098467883,-3.356535060486475,-7.643226764393724,-1.5706205018250226
502,779441284669818112,159.9882981545982,39.99115557143741,-6.022517696795219,-13.502893609740498,1,0,21.323600769043,20.0914993286133,-31.393165799333246,-3.8155963799463266,-8.037508247942526,-2.3089798601846216
503,779173106911713024,160.7235895037542,39.49894870431419,-3.437400515644743,-11.643225423917984,1,0,18.1620998382568,17.1996994018555,-31.340707697008895,-4.563365296522582,-4.84847691346608,-2.919735966888309
504,779399331429105920,161.09080393242783,40.839557204591706,-3.0773755114023507,-13.982389742952144,1,0,21.0403995513916,19.8188991546631,-30.197110749664375,-3.8049945381762926,-6.201230219536313,-4.895249213557016
